,index,count,timeStamp,activity,time,perc
0,10,70148.0,1,Leisure,1970-01-01 01:01:00,95.11
1,6,1973.0,1,Work and Education,1970-01-01 01:01:00,2.67
2,3,584.0,1,Housework,1970-01-01 01:01:00,0.79
3,11,525.0,1,Travel and Other,1970-01-01 01:01:00,0.71
4,4,479.0,1,Child Care,1970-01-01 01:01:00,0.65
5,5,49.0,1,Adult Care,1970-01-01 01:01:00,0.07
6,10,70128.0,2,Leisure,1970-01-01 01:02:00,95.08
7,6,1977.0,2,Work and Education,1970-01-01 01:02:00,2.68
8,3,590.0,2,Housework,1970-01-01 01:02:00,0.8
9,11,535.0,2,Travel and Other,1970-01-01 01:02:00,0.73
10,4,482.0,2,Child Care,1970-01-01 01:02:00,0.65
11,5,46.0,2,Adult Care,1970-01-01 01:02:00,0.06
12,10,70134.0,3,Leisure,1970-01-01 01:03:00,95.09
13,6,1981.0,3,Work and Education,1970-01-01 01:03:00,2.69
14,3,580.0,3,Housework,1970-01-01 01:03:00,0.79
15,11,535.0,3,Travel and Other,1970-01-01 01:03:00,0.73
16,4,483.0,3,Child Care,1970-01-01 01:03:00,0.65
17,5,45.0,3,Adult Care,1970-01-01 01:03:00,0.06
18,10,70150.0,4,Leisure,1970-01-01 01:04:00,95.11
19,6,1980.0,4,Work and Education,1970-01-01 01:04:00,2.68
20,3,568.0,4,Housework,1970-01-01 01:04:00,0.77
21,11,533.0,4,Travel and Other,1970-01-01 01:04:00,0.72
22,4,482.0,4,Child Care,1970-01-01 01:04:00,0.65
23,5,45.0,4,Adult Care,1970-01-01 01:04:00,0.06
24,10,70158.0,5,Leisure,1970-01-01 01:05:00,95.12
25,6,1980.0,5,Work and Education,1970-01-01 01:05:00,2.68
26,3,562.0,5,Housework,1970-01-01 01:05:00,0.76
27,11,530.0,5,Travel and Other,1970-01-01 01:05:00,0.72
28,4,483.0,5,Child Care,1970-01-01 01:05:00,0.65
29,5,45.0,5,Adult Care,1970-01-01 01:05:00,0.06
30,10,70182.0,6,Leisure,1970-01-01 01:06:00,95.15
31,6,1986.0,6,Work and Education,1970-01-01 01:06:00,2.69
32,3,538.0,6,Housework,1970-01-01 01:06:00,0.73
33,11,533.0,6,Travel and Other,1970-01-01 01:06:00,0.72
34,4,477.0,6,Child Care,1970-01-01 01:06:00,0.65
35,5,42.0,6,Adult Care,1970-01-01 01:06:00,0.06
36,10,70184.0,7,Leisure,1970-01-01 01:07:00,95.15
37,6,1986.0,7,Work and Education,1970-01-01 01:07:00,2.69
38,3,537.0,7,Housework,1970-01-01 01:07:00,0.73
39,11,533.0,7,Travel and Other,1970-01-01 01:07:00,0.72
40,4,476.0,7,Child Care,1970-01-01 01:07:00,0.65
41,5,42.0,7,Adult Care,1970-01-01 01:07:00,0.06
42,10,70189.0,8,Leisure,1970-01-01 01:08:00,95.16
43,6,1986.0,8,Work and Education,1970-01-01 01:08:00,2.69
44,3,533.0,8,Housework,1970-01-01 01:08:00,0.72
45,11,532.0,8,Travel and Other,1970-01-01 01:08:00,0.72
46,4,477.0,8,Child Care,1970-01-01 01:08:00,0.65
47,5,41.0,8,Adult Care,1970-01-01 01:08:00,0.06
48,10,70192.0,9,Leisure,1970-01-01 01:09:00,95.17
49,6,1986.0,9,Work and Education,1970-01-01 01:09:00,2.69
50,11,532.0,9,Travel and Other,1970-01-01 01:09:00,0.72
51,3,531.0,9,Housework,1970-01-01 01:09:00,0.72
52,4,477.0,9,Child Care,1970-01-01 01:09:00,0.65
53,5,40.0,9,Adult Care,1970-01-01 01:09:00,0.05
54,10,70195.0,10,Leisure,1970-01-01 01:10:00,95.17
55,6,1986.0,10,Work and Education,1970-01-01 01:10:00,2.69
56,3,531.0,10,Housework,1970-01-01 01:10:00,0.72
57,11,531.0,10,Travel and Other,1970-01-01 01:10:00,0.72
58,4,475.0,10,Child Care,1970-01-01 01:10:00,0.64
59,5,40.0,10,Adult Care,1970-01-01 01:10:00,0.05
60,10,70195.0,11,Leisure,1970-01-01 01:11:00,95.17
61,6,2001.0,11,Work and Education,1970-01-01 01:11:00,2.71
62,11,538.0,11,Travel and Other,1970-01-01 01:11:00,0.73
63,3,525.0,11,Housework,1970-01-01 01:11:00,0.71
64,4,458.0,11,Child Care,1970-01-01 01:11:00,0.62
65,5,41.0,11,Adult Care,1970-01-01 01:11:00,0.06
66,10,70195.0,12,Leisure,1970-01-01 01:12:00,95.17
67,6,2002.0,12,Work and Education,1970-01-01 01:12:00,2.71
68,11,537.0,12,Travel and Other,1970-01-01 01:12:00,0.73
69,3,526.0,12,Housework,1970-01-01 01:12:00,0.71
70,4,457.0,12,Child Care,1970-01-01 01:12:00,0.62
71,5,41.0,12,Adult Care,1970-01-01 01:12:00,0.06
72,10,70196.0,13,Leisure,1970-01-01 01:13:00,95.17
73,6,2004.0,13,Work and Education,1970-01-01 01:13:00,2.72
74,11,540.0,13,Travel and Other,1970-01-01 01:13:00,0.73
75,3,520.0,13,Housework,1970-01-01 01:13:00,0.71
76,4,458.0,13,Child Care,1970-01-01 01:13:00,0.62
77,5,40.0,13,Adult Care,1970-01-01 01:13:00,0.05
78,10,70202.0,14,Leisure,1970-01-01 01:14:00,95.18
79,6,2005.0,14,Work and Education,1970-01-01 01:14:00,2.72
80,11,541.0,14,Travel and Other,1970-01-01 01:14:00,0.73
81,3,513.0,14,Housework,1970-01-01 01:14:00,0.7
82,4,458.0,14,Child Care,1970-01-01 01:14:00,0.62
83,5,39.0,14,Adult Care,1970-01-01 01:14:00,0.05
84,10,70202.0,15,Leisure,1970-01-01 01:15:00,95.18
85,6,2005.0,15,Work and Education,1970-01-01 01:15:00,2.72
86,11,542.0,15,Travel and Other,1970-01-01 01:15:00,0.73
87,3,512.0,15,Housework,1970-01-01 01:15:00,0.69
88,4,458.0,15,Child Care,1970-01-01 01:15:00,0.62
89,5,39.0,15,Adult Care,1970-01-01 01:15:00,0.05
90,10,70124.0,16,Leisure,1970-01-01 01:16:00,95.07
91,6,2033.0,16,Work and Education,1970-01-01 01:16:00,2.76
92,11,591.0,16,Travel and Other,1970-01-01 01:16:00,0.8
93,3,538.0,16,Housework,1970-01-01 01:16:00,0.73
94,4,427.0,16,Child Care,1970-01-01 01:16:00,0.58
95,5,45.0,16,Adult Care,1970-01-01 01:16:00,0.06
96,10,70122.0,17,Leisure,1970-01-01 01:17:00,95.07
97,6,2035.0,17,Work and Education,1970-01-01 01:17:00,2.76
98,11,593.0,17,Travel and Other,1970-01-01 01:17:00,0.8
99,3,539.0,17,Housework,1970-01-01 01:17:00,0.73
100,4,426.0,17,Child Care,1970-01-01 01:17:00,0.58
101,5,43.0,17,Adult Care,1970-01-01 01:17:00,0.06
102,10,70129.0,18,Leisure,1970-01-01 01:18:00,95.08
103,6,2037.0,18,Work and Education,1970-01-01 01:18:00,2.76
104,11,595.0,18,Travel and Other,1970-01-01 01:18:00,0.81
105,3,531.0,18,Housework,1970-01-01 01:18:00,0.72
106,4,423.0,18,Child Care,1970-01-01 01:18:00,0.57
107,5,43.0,18,Adult Care,1970-01-01 01:18:00,0.06
108,10,70125.0,19,Leisure,1970-01-01 01:19:00,95.07
109,6,2036.0,19,Work and Education,1970-01-01 01:19:00,2.76
110,11,600.0,19,Travel and Other,1970-01-01 01:19:00,0.81
111,3,532.0,19,Housework,1970-01-01 01:19:00,0.72
112,4,422.0,19,Child Care,1970-01-01 01:19:00,0.57
113,5,43.0,19,Adult Care,1970-01-01 01:19:00,0.06
114,10,70127.0,20,Leisure,1970-01-01 01:20:00,95.08
115,6,2036.0,20,Work and Education,1970-01-01 01:20:00,2.76
116,11,599.0,20,Travel and Other,1970-01-01 01:20:00,0.81
117,3,530.0,20,Housework,1970-01-01 01:20:00,0.72
118,4,423.0,20,Child Care,1970-01-01 01:20:00,0.57
119,5,43.0,20,Adult Care,1970-01-01 01:20:00,0.06
120,10,70045.0,21,Leisure,1970-01-01 01:21:00,94.97
121,6,2073.0,21,Work and Education,1970-01-01 01:21:00,2.81
122,11,659.0,21,Travel and Other,1970-01-01 01:21:00,0.89
123,3,553.0,21,Housework,1970-01-01 01:21:00,0.75
124,4,384.0,21,Child Care,1970-01-01 01:21:00,0.52
125,5,44.0,21,Adult Care,1970-01-01 01:21:00,0.06
126,10,70048.0,22,Leisure,1970-01-01 01:22:00,94.97
127,6,2074.0,22,Work and Education,1970-01-01 01:22:00,2.81
128,11,660.0,22,Travel and Other,1970-01-01 01:22:00,0.89
129,3,551.0,22,Housework,1970-01-01 01:22:00,0.75
130,4,382.0,22,Child Care,1970-01-01 01:22:00,0.52
131,5,43.0,22,Adult Care,1970-01-01 01:22:00,0.06
132,10,70048.0,23,Leisure,1970-01-01 01:23:00,94.97
133,6,2075.0,23,Work and Education,1970-01-01 01:23:00,2.81
134,11,664.0,23,Travel and Other,1970-01-01 01:23:00,0.9
135,3,548.0,23,Housework,1970-01-01 01:23:00,0.74
136,4,380.0,23,Child Care,1970-01-01 01:23:00,0.52
137,5,43.0,23,Adult Care,1970-01-01 01:23:00,0.06
138,10,70047.0,24,Leisure,1970-01-01 01:24:00,94.97
139,6,2078.0,24,Work and Education,1970-01-01 01:24:00,2.82
