,index,count,timeStamp,activity,time,perc
0,10,6449.0,1,Leisure,1970-01-01 01:01:00,95.43
1,6,164.0,1,Work and Education,1970-01-01 01:01:00,2.43
2,11,59.0,1,Travel and Other,1970-01-01 01:01:00,0.87
3,3,52.0,1,Housework,1970-01-01 01:01:00,0.77
4,4,26.0,1,Child Care,1970-01-01 01:01:00,0.38
5,5,8.0,1,Adult Care,1970-01-01 01:01:00,0.12
6,10,6448.0,2,Leisure,1970-01-01 01:02:00,95.41
7,6,165.0,2,Work and Education,1970-01-01 01:02:00,2.44
8,11,58.0,2,Travel and Other,1970-01-01 01:02:00,0.86
9,3,53.0,2,Housework,1970-01-01 01:02:00,0.78
10,4,26.0,2,Child Care,1970-01-01 01:02:00,0.38
11,5,8.0,2,Adult Care,1970-01-01 01:02:00,0.12
12,10,6449.0,3,Leisure,1970-01-01 01:03:00,95.43
13,6,165.0,3,Work and Education,1970-01-01 01:03:00,2.44
14,11,58.0,3,Travel and Other,1970-01-01 01:03:00,0.86
15,3,52.0,3,Housework,1970-01-01 01:03:00,0.77
16,4,26.0,3,Child Care,1970-01-01 01:03:00,0.38
17,5,8.0,3,Adult Care,1970-01-01 01:03:00,0.12
18,10,6449.0,4,Leisure,1970-01-01 01:04:00,95.43
19,6,166.0,4,Work and Education,1970-01-01 01:04:00,2.46
20,11,58.0,4,Travel and Other,1970-01-01 01:04:00,0.86
21,3,51.0,4,Housework,1970-01-01 01:04:00,0.75
22,4,26.0,4,Child Care,1970-01-01 01:04:00,0.38
23,5,8.0,4,Adult Care,1970-01-01 01:04:00,0.12
24,10,6450.0,5,Leisure,1970-01-01 01:05:00,95.44
25,6,166.0,5,Work and Education,1970-01-01 01:05:00,2.46
26,11,58.0,5,Travel and Other,1970-01-01 01:05:00,0.86
27,3,50.0,5,Housework,1970-01-01 01:05:00,0.74
28,4,26.0,5,Child Care,1970-01-01 01:05:00,0.38
29,5,8.0,5,Adult Care,1970-01-01 01:05:00,0.12
30,10,6456.0,6,Leisure,1970-01-01 01:06:00,95.53
31,6,166.0,6,Work and Education,1970-01-01 01:06:00,2.46
32,11,59.0,6,Travel and Other,1970-01-01 01:06:00,0.87
33,3,44.0,6,Housework,1970-01-01 01:06:00,0.65
34,4,26.0,6,Child Care,1970-01-01 01:06:00,0.38
35,5,7.0,6,Adult Care,1970-01-01 01:06:00,0.1
36,10,6456.0,7,Leisure,1970-01-01 01:07:00,95.53
37,6,166.0,7,Work and Education,1970-01-01 01:07:00,2.46
38,11,59.0,7,Travel and Other,1970-01-01 01:07:00,0.87
39,3,44.0,7,Housework,1970-01-01 01:07:00,0.65
40,4,26.0,7,Child Care,1970-01-01 01:07:00,0.38
41,5,7.0,7,Adult Care,1970-01-01 01:07:00,0.1
42,10,6454.0,8,Leisure,1970-01-01 01:08:00,95.5
43,6,167.0,8,Work and Education,1970-01-01 01:08:00,2.47
44,11,60.0,8,Travel and Other,1970-01-01 01:08:00,0.89
45,3,44.0,8,Housework,1970-01-01 01:08:00,0.65
46,4,26.0,8,Child Care,1970-01-01 01:08:00,0.38
47,5,7.0,8,Adult Care,1970-01-01 01:08:00,0.1
48,10,6454.0,9,Leisure,1970-01-01 01:09:00,95.5
49,6,167.0,9,Work and Education,1970-01-01 01:09:00,2.47
50,11,60.0,9,Travel and Other,1970-01-01 01:09:00,0.89
51,3,44.0,9,Housework,1970-01-01 01:09:00,0.65
52,4,26.0,9,Child Care,1970-01-01 01:09:00,0.38
53,5,7.0,9,Adult Care,1970-01-01 01:09:00,0.1
54,10,6454.0,10,Leisure,1970-01-01 01:10:00,95.5
55,6,167.0,10,Work and Education,1970-01-01 01:10:00,2.47
56,11,60.0,10,Travel and Other,1970-01-01 01:10:00,0.89
57,3,44.0,10,Housework,1970-01-01 01:10:00,0.65
58,4,26.0,10,Child Care,1970-01-01 01:10:00,0.38
59,5,7.0,10,Adult Care,1970-01-01 01:10:00,0.1
60,10,6453.0,11,Leisure,1970-01-01 01:11:00,95.49
61,6,166.0,11,Work and Education,1970-01-01 01:11:00,2.46
62,11,61.0,11,Travel and Other,1970-01-01 01:11:00,0.9
63,3,43.0,11,Housework,1970-01-01 01:11:00,0.64
64,4,26.0,11,Child Care,1970-01-01 01:11:00,0.38
65,5,9.0,11,Adult Care,1970-01-01 01:11:00,0.13
66,10,6453.0,12,Leisure,1970-01-01 01:12:00,95.49
67,6,166.0,12,Work and Education,1970-01-01 01:12:00,2.46
68,11,61.0,12,Travel and Other,1970-01-01 01:12:00,0.9
69,3,43.0,12,Housework,1970-01-01 01:12:00,0.64
70,4,26.0,12,Child Care,1970-01-01 01:12:00,0.38
71,5,9.0,12,Adult Care,1970-01-01 01:12:00,0.13
72,10,6455.0,13,Leisure,1970-01-01 01:13:00,95.52
73,6,166.0,13,Work and Education,1970-01-01 01:13:00,2.46
74,11,60.0,13,Travel and Other,1970-01-01 01:13:00,0.89
75,3,42.0,13,Housework,1970-01-01 01:13:00,0.62
76,4,26.0,13,Child Care,1970-01-01 01:13:00,0.38
77,5,9.0,13,Adult Care,1970-01-01 01:13:00,0.13
78,10,6455.0,14,Leisure,1970-01-01 01:14:00,95.52
79,6,166.0,14,Work and Education,1970-01-01 01:14:00,2.46
80,11,60.0,14,Travel and Other,1970-01-01 01:14:00,0.89
81,3,42.0,14,Housework,1970-01-01 01:14:00,0.62
82,4,26.0,14,Child Care,1970-01-01 01:14:00,0.38
83,5,9.0,14,Adult Care,1970-01-01 01:14:00,0.13
84,10,6455.0,15,Leisure,1970-01-01 01:15:00,95.52
85,6,166.0,15,Work and Education,1970-01-01 01:15:00,2.46
86,11,60.0,15,Travel and Other,1970-01-01 01:15:00,0.89
87,3,42.0,15,Housework,1970-01-01 01:15:00,0.62
88,4,26.0,15,Child Care,1970-01-01 01:15:00,0.38
89,5,9.0,15,Adult Care,1970-01-01 01:15:00,0.13
90,10,6443.0,16,Leisure,1970-01-01 01:16:00,95.34
91,6,170.0,16,Work and Education,1970-01-01 01:16:00,2.52
92,11,64.0,16,Travel and Other,1970-01-01 01:16:00,0.95
93,3,51.0,16,Housework,1970-01-01 01:16:00,0.75
94,4,25.0,16,Child Care,1970-01-01 01:16:00,0.37
95,5,5.0,16,Adult Care,1970-01-01 01:16:00,0.07
96,10,6442.0,17,Leisure,1970-01-01 01:17:00,95.32
97,6,170.0,17,Work and Education,1970-01-01 01:17:00,2.52
98,11,64.0,17,Travel and Other,1970-01-01 01:17:00,0.95
99,3,52.0,17,Housework,1970-01-01 01:17:00,0.77
100,4,25.0,17,Child Care,1970-01-01 01:17:00,0.37
101,5,5.0,17,Adult Care,1970-01-01 01:17:00,0.07
102,10,6443.0,18,Leisure,1970-01-01 01:18:00,95.34
103,6,170.0,18,Work and Education,1970-01-01 01:18:00,2.52
104,11,65.0,18,Travel and Other,1970-01-01 01:18:00,0.96
105,3,50.0,18,Housework,1970-01-01 01:18:00,0.74
106,4,26.0,18,Child Care,1970-01-01 01:18:00,0.38
107,5,4.0,18,Adult Care,1970-01-01 01:18:00,0.06
108,10,6443.0,19,Leisure,1970-01-01 01:19:00,95.34
109,6,170.0,19,Work and Education,1970-01-01 01:19:00,2.52
110,11,65.0,19,Travel and Other,1970-01-01 01:19:00,0.96
111,3,50.0,19,Housework,1970-01-01 01:19:00,0.74
112,4,26.0,19,Child Care,1970-01-01 01:19:00,0.38
113,5,4.0,19,Adult Care,1970-01-01 01:19:00,0.06
114,10,6443.0,20,Leisure,1970-01-01 01:20:00,95.34
115,6,170.0,20,Work and Education,1970-01-01 01:20:00,2.52
116,11,65.0,20,Travel and Other,1970-01-01 01:20:00,0.96
117,3,50.0,20,Housework,1970-01-01 01:20:00,0.74
118,4,26.0,20,Child Care,1970-01-01 01:20:00,0.38
119,5,4.0,20,Adult Care,1970-01-01 01:20:00,0.06
120,10,6431.0,21,Leisure,1970-01-01 01:21:00,95.16
121,6,176.0,21,Work and Education,1970-01-01 01:21:00,2.6
122,11,68.0,21,Travel and Other,1970-01-01 01:21:00,1.01
123,3,55.0,21,Housework,1970-01-01 01:21:00,0.81
124,4,24.0,21,Child Care,1970-01-01 01:21:00,0.36
125,5,4.0,21,Adult Care,1970-01-01 01:21:00,0.06
126,10,6431.0,22,Leisure,1970-01-01 01:22:00,95.16
127,6,176.0,22,Work and Education,1970-01-01 01:22:00,2.6
128,11,69.0,22,Travel and Other,1970-01-01 01:22:00,1.02
129,3,54.0,22,Housework,1970-01-01 01:22:00,0.8
130,4,24.0,22,Child Care,1970-01-01 01:22:00,0.36
131,5,4.0,22,Adult Care,1970-01-01 01:22:00,0.06
132,10,6432.0,23,Leisure,1970-01-01 01:23:00,95.18
133,6,176.0,23,Work and Education,1970-01-01 01:23:00,2.6
134,11,69.0,23,Travel and Other,1970-01-01 01:23:00,1.02
135,3,52.0,23,Housework,1970-01-01 01:23:00,0.77
136,4,24.0,23,Child Care,1970-01-01 01:23:00,0.36
137,5,5.0,23,Adult Care,1970-01-01 01:23:00,0.07
138,10,6431.0,24,Leisure,1970-01-01 01:24:00,95.16
139,6,176.0,24,Work and Education,1970-01-01 01:24:00,2.6
140,11,70.0,24,Travel and Other,1970-01-01 01:24:00,1.04
141,3,53.0,24,Housework,1970-01-01 01:24:00,0.78
142,4,24.0,24,Child Care,1970-01-01 01:24:00,0.36
143,5,4.0,24,Adult Care,1970-01-01 01:24:00,0.06
144,10,6431.0,25,Leisure,1970-01-01 01:25:00,95.16
145,6,176.0,25,Work and Education,1970-01-01 01:25:00,2.6
146,11,70.0,25,Travel and Other,1970-01-01 01:25:00,1.04
147,3,53.0,25,Housework,1970-01-01 01:25:00,0.78
148,4,24.0,25,Child Care,1970-01-01 01:25:00,0.36
149,5,4.0,25,Adult Care,1970-01-01 01:25:00,0.06
150,10,6425.0,26,Leisure,1970-01-01 01:26:00,95.07
151,6,179.0,26,Work and Education,1970-01-01 01:26:00,2.65
152,11,75.0,26,Travel and Other,1970-01-01 01:26:00,1.11
153,3,52.0,26,Housework,1970-01-01 01:26:00,0.77
154,4,24.0,26,Child Care,1970-01-01 01:26:00,0.36
155,5,3.0,26,Adult Care,1970-01-01 01:26:00,0.04
156,10,6424.0,27,Leisure,1970-01-01 01:27:00,95.06
157,6,179.0,27,Work and Education,1970-01-01 01:27:00,2.65
158,11,76.0,27,Travel and Other,1970-01-01 01:27:00,1.12
159,3,52.0,27,Housework,1970-01-01 01:27:00,0.77
160,4,24.0,27,Child Care,1970-01-01 01:27:00,0.36
161,5,3.0,27,Adult Care,1970-01-01 01:27:00,0.04
162,10,6424.0,28,Leisure,1970-01-01 01:28:00,95.06
163,6,179.0,28,Work and Education,1970-01-01 01:28:00,2.65
164,11,76.0,28,Travel and Other,1970-01-01 01:28:00,1.12
165,3,52.0,28,Housework,1970-01-01 01:28:00,0.77
166,4,24.0,28,Child Care,1970-01-01 01:28:00,0.36
167,5,3.0,28,Adult Care,1970-01-01 01:28:00,0.04
168,10,6424.0,29,Leisure,1970-01-01 01:29:00,95.06
169,6,179.0,29,Work and Education,1970-01-01 01:29:00,2.65
170,11,75.0,29,Travel and Other,1970-01-01 01:29:00,1.11
171,3,53.0,29,Housework,1970-01-01 01:29:00,0.78
172,4,24.0,29,Child Care,1970-01-01 01:29:00,0.36
173,5,3.0,29,Adult Care,1970-01-01 01:29:00,0.04
174,10,6424.0,30,Leisure,1970-01-01 01:30:00,95.06
175,6,179.0,30,Work and Education,1970-01-01 01:30:00,2.65
176,11,75.0,30,Travel and Other,1970-01-01 01:30:00,1.11
177,3,53.0,30,Housework,1970-01-01 01:30:00,0.78
178,4,24.0,30,Child Care,1970-01-01 01:30:00,0.36
179,5,3.0,30,Adult Care,1970-01-01 01:30:00,0.04
180,10,6375.0,31,Leisure,1970-01-01 01:31:00,94.33
181,6,187.0,31,Work and Education,1970-01-01 01:31:00,2.77
182,11,99.0,31,Travel and Other,1970-01-01 01:31:00,1.46
183,3,77.0,31,Housework,1970-01-01 01:31:00,1.14
184,4,17.0,31,Child Care,1970-01-01 01:31:00,0.25
185,5,3.0,31,Adult Care,1970-01-01 01:31:00,0.04
186,10,6377.0,32,Leisure,1970-01-01 01:32:00,94.36
187,6,186.0,32,Work and Education,1970-01-01 01:32:00,2.75
188,11,99.0,32,Travel and Other,1970-01-01 01:32:00,1.46
189,3,76.0,32,Housework,1970-01-01 01:32:00,1.12
190,4,17.0,32,Child Care,1970-01-01 01:32:00,0.25
191,5,3.0,32,Adult Care,1970-01-01 01:32:00,0.04
192,10,6378.0,33,Leisure,1970-01-01 01:33:00,94.38
193,6,186.0,33,Work and Education,1970-01-01 01:33:00,2.75
194,11,97.0,33,Travel and Other,1970-01-01 01:33:00,1.44
195,3,77.0,33,Housework,1970-01-01 01:33:00,1.14
196,4,17.0,33,Child Care,1970-01-01 01:33:00,0.25
197,5,3.0,33,Adult Care,1970-01-01 01:33:00,0.04
198,10,6376.0,34,Leisure,1970-01-01 01:34:00,94.35
199,6,186.0,34,Work and Education,1970-01-01 01:34:00,2.75
200,11,96.0,34,Travel and Other,1970-01-01 01:34:00,1.42
201,3,79.0,34,Housework,1970-01-01 01:34:00,1.17
202,4,17.0,34,Child Care,1970-01-01 01:34:00,0.25
203,5,4.0,34,Adult Care,1970-01-01 01:34:00,0.06
204,10,6376.0,35,Leisure,1970-01-01 01:35:00,94.35
205,6,187.0,35,Work and Education,1970-01-01 01:35:00,2.77
206,11,97.0,35,Travel and Other,1970-01-01 01:35:00,1.44
207,3,78.0,35,Housework,1970-01-01 01:35:00,1.15
208,4,17.0,35,Child Care,1970-01-01 01:35:00,0.25
209,5,3.0,35,Adult Care,1970-01-01 01:35:00,0.04
210,10,6373.0,36,Leisure,1970-01-01 01:36:00,94.3
211,6,191.0,36,Work and Education,1970-01-01 01:36:00,2.83
212,11,97.0,36,Travel and Other,1970-01-01 01:36:00,1.44
213,3,76.0,36,Housework,1970-01-01 01:36:00,1.12
214,4,17.0,36,Child Care,1970-01-01 01:36:00,0.25
215,5,4.0,36,Adult Care,1970-01-01 01:36:00,0.06
216,10,6373.0,37,Leisure,1970-01-01 01:37:00,94.3
217,6,191.0,37,Work and Education,1970-01-01 01:37:00,2.83
218,11,99.0,37,Travel and Other,1970-01-01 01:37:00,1.46
219,3,74.0,37,Housework,1970-01-01 01:37:00,1.09
220,4,17.0,37,Child Care,1970-01-01 01:37:00,0.25
221,5,4.0,37,Adult Care,1970-01-01 01:37:00,0.06
222,10,6372.0,38,Leisure,1970-01-01 01:38:00,94.29
223,6,191.0,38,Work and Education,1970-01-01 01:38:00,2.83
224,11,100.0,38,Travel and Other,1970-01-01 01:38:00,1.48
225,3,74.0,38,Housework,1970-01-01 01:38:00,1.09
226,4,17.0,38,Child Care,1970-01-01 01:38:00,0.25
227,5,4.0,38,Adult Care,1970-01-01 01:38:00,0.06
228,10,6374.0,39,Leisure,1970-01-01 01:39:00,94.32
229,6,192.0,39,Work and Education,1970-01-01 01:39:00,2.84
230,11,98.0,39,Travel and Other,1970-01-01 01:39:00,1.45
231,3,73.0,39,Housework,1970-01-01 01:39:00,1.08
232,4,17.0,39,Child Care,1970-01-01 01:39:00,0.25
233,5,4.0,39,Adult Care,1970-01-01 01:39:00,0.06
234,10,6374.0,40,Leisure,1970-01-01 01:40:00,94.32
235,6,192.0,40,Work and Education,1970-01-01 01:40:00,2.84
236,11,98.0,40,Travel and Other,1970-01-01 01:40:00,1.45
237,3,73.0,40,Housework,1970-01-01 01:40:00,1.08
238,4,17.0,40,Child Care,1970-01-01 01:40:00,0.25
239,5,4.0,40,Adult Care,1970-01-01 01:40:00,0.06
240,10,6365.0,41,Leisure,1970-01-01 01:41:00,94.18
241,6,199.0,41,Work and Education,1970-01-01 01:41:00,2.94
242,11,101.0,41,Travel and Other,1970-01-01 01:41:00,1.49
243,3,73.0,41,Housework,1970-01-01 01:41:00,1.08
244,4,17.0,41,Child Care,1970-01-01 01:41:00,0.25
245,5,3.0,41,Adult Care,1970-01-01 01:41:00,0.04
246,10,6364.0,42,Leisure,1970-01-01 01:42:00,94.17
247,6,199.0,42,Work and Education,1970-01-01 01:42:00,2.94
248,11,103.0,42,Travel and Other,1970-01-01 01:42:00,1.52
249,3,72.0,42,Housework,1970-01-01 01:42:00,1.07
250,4,17.0,42,Child Care,1970-01-01 01:42:00,0.25
251,5,3.0,42,Adult Care,1970-01-01 01:42:00,0.04
252,10,6364.0,43,Leisure,1970-01-01 01:43:00,94.17
253,6,199.0,43,Work and Education,1970-01-01 01:43:00,2.94
254,11,104.0,43,Travel and Other,1970-01-01 01:43:00,1.54
255,3,72.0,43,Housework,1970-01-01 01:43:00,1.07
256,4,17.0,43,Child Care,1970-01-01 01:43:00,0.25
257,5,2.0,43,Adult Care,1970-01-01 01:43:00,0.03
258,10,6362.0,44,Leisure,1970-01-01 01:44:00,94.14
259,6,200.0,44,Work and Education,1970-01-01 01:44:00,2.96
260,11,105.0,44,Travel and Other,1970-01-01 01:44:00,1.55
261,3,71.0,44,Housework,1970-01-01 01:44:00,1.05
262,4,18.0,44,Child Care,1970-01-01 01:44:00,0.27
263,5,2.0,44,Adult Care,1970-01-01 01:44:00,0.03
264,10,6362.0,45,Leisure,1970-01-01 01:45:00,94.14
265,6,200.0,45,Work and Education,1970-01-01 01:45:00,2.96
266,11,105.0,45,Travel and Other,1970-01-01 01:45:00,1.55
267,3,72.0,45,Housework,1970-01-01 01:45:00,1.07
268,4,17.0,45,Child Care,1970-01-01 01:45:00,0.25
269,5,2.0,45,Adult Care,1970-01-01 01:45:00,0.03
270,10,6311.0,46,Leisure,1970-01-01 01:46:00,93.39
271,6,207.0,46,Work and Education,1970-01-01 01:46:00,3.06
272,11,129.0,46,Travel and Other,1970-01-01 01:46:00,1.91
273,3,88.0,46,Housework,1970-01-01 01:46:00,1.3
274,4,19.0,46,Child Care,1970-01-01 01:46:00,0.28
275,5,4.0,46,Adult Care,1970-01-01 01:46:00,0.06
276,10,6310.0,47,Leisure,1970-01-01 01:47:00,93.37
277,6,207.0,47,Work and Education,1970-01-01 01:47:00,3.06
278,11,129.0,47,Travel and Other,1970-01-01 01:47:00,1.91
279,3,89.0,47,Housework,1970-01-01 01:47:00,1.32
280,4,19.0,47,Child Care,1970-01-01 01:47:00,0.28
281,5,4.0,47,Adult Care,1970-01-01 01:47:00,0.06
282,10,6309.0,48,Leisure,1970-01-01 01:48:00,93.36
283,6,207.0,48,Work and Education,1970-01-01 01:48:00,3.06
284,11,130.0,48,Travel and Other,1970-01-01 01:48:00,1.92
285,3,88.0,48,Housework,1970-01-01 01:48:00,1.3
286,4,19.0,48,Child Care,1970-01-01 01:48:00,0.28
287,5,5.0,48,Adult Care,1970-01-01 01:48:00,0.07
288,10,6311.0,49,Leisure,1970-01-01 01:49:00,93.39
289,6,207.0,49,Work and Education,1970-01-01 01:49:00,3.06
290,11,130.0,49,Travel and Other,1970-01-01 01:49:00,1.92
291,3,86.0,49,Housework,1970-01-01 01:49:00,1.27
292,4,19.0,49,Child Care,1970-01-01 01:49:00,0.28
293,5,5.0,49,Adult Care,1970-01-01 01:49:00,0.07
294,10,6311.0,50,Leisure,1970-01-01 01:50:00,93.39
295,6,208.0,50,Work and Education,1970-01-01 01:50:00,3.08
296,11,129.0,50,Travel and Other,1970-01-01 01:50:00,1.91
297,3,86.0,50,Housework,1970-01-01 01:50:00,1.27
298,4,19.0,50,Child Care,1970-01-01 01:50:00,0.28
299,5,5.0,50,Adult Care,1970-01-01 01:50:00,0.07
300,10,6305.0,51,Leisure,1970-01-01 01:51:00,93.3
301,6,215.0,51,Work and Education,1970-01-01 01:51:00,3.18
302,11,128.0,51,Travel and Other,1970-01-01 01:51:00,1.89
303,3,84.0,51,Housework,1970-01-01 01:51:00,1.24
304,4,20.0,51,Child Care,1970-01-01 01:51:00,0.3
305,5,6.0,51,Adult Care,1970-01-01 01:51:00,0.09
306,10,6308.0,52,Leisure,1970-01-01 01:52:00,93.34
307,6,216.0,52,Work and Education,1970-01-01 01:52:00,3.2
308,11,124.0,52,Travel and Other,1970-01-01 01:52:00,1.83
309,3,83.0,52,Housework,1970-01-01 01:52:00,1.23
310,4,20.0,52,Child Care,1970-01-01 01:52:00,0.3
311,5,7.0,52,Adult Care,1970-01-01 01:52:00,0.1
312,10,6308.0,53,Leisure,1970-01-01 01:53:00,93.34
313,6,217.0,53,Work and Education,1970-01-01 01:53:00,3.21
314,11,125.0,53,Travel and Other,1970-01-01 01:53:00,1.85
315,3,83.0,53,Housework,1970-01-01 01:53:00,1.23
316,4,20.0,53,Child Care,1970-01-01 01:53:00,0.3
317,5,5.0,53,Adult Care,1970-01-01 01:53:00,0.07
318,10,6309.0,54,Leisure,1970-01-01 01:54:00,93.36
